h_team_id,a_team_id,day,fix_time,fix_round,temp,rain,distance,dist_time,sunset,attend,hw_odds,d_odds,h_injuries,a_injuries,h_suspensions,a_suspensions,h_penalty_c,a_penalty_c,win_lg,draw_lg,loss_lg,derby,league_pos_h,league_pos_a,tv,tv_all,radius_25k,last_home_game,points_top,points_bottom,season
10,4,7,19.450001,29,12,1,138,116,19.139999,4083,.40000001,3.2,3,1,0,1,0,0,0,1,0,0,12,5,0,0,0,18,0,38,2012
5,8,2,19.450001,30,11,0,53,42,19,631,.69999999,2.4000001,0,1,1,1,1,0,0,1,0,0,10,6,0,0,0,3,9,32,2012
11,12,2,19.450001,30,12,0,12,25,19,716,.40000001,3.3299999,3,4,0,0,0,0,0,1,0,0,11,4,0,0,0,6,8,33,2012
4,6,3,19.450001,30,9,1,200,147,19.01,500,.40000001,3,4,3,0,1,0,0,0,0,1,0,5,2,0,0,0,10,27,14,2012
2,9,6,19.450001,30,12,0,23,30,18.51,1500,4.5,2.5,3,2,0,0,0,0,0,1,0,0,3,9,0,0,0,14,32,9,2012
3,10,6,20,30,10,0,263,240,19.030001,3071,4,2.5,1,3,1,0,0,0,0,1,0,0,7,12,0,0,0,25,25,16,2012
6,1,7,19,31,9,0,85,59,18.32,250,2.75,2.5,1,1,1,1,0,0,0,0,1,0,2,6,0,0,0,6,42,0,2012
9,4,7,19,31,10,0,246,174,18.32,1800,.53329998,2.75,2,0,2,0,0,1,1,0,0,0,9,7,0,0,2,15,12,30,2012
8,3,7,20,31,10,0,252,150,18.32,1007,1.625,2.2,2,2,1,0,1,0,0,0,1,0,5,8,0,0,2,3,27,15,2012
10,11,7,15.45,31,10,0,207,157,18.4,5621,1.05,2.2,3,2,0,0,1,0,0,1,0,0,12,11,1,0,0,14,0,42,2012
12,5,7,19.450001,31,10,0,60,50,18.32,318,2.5,2.3,3,0,0,3,1,0,0,0,1,0,4,10,0,0,2,15,31,11,2012
2,1,6,19.450001,32,12,0,25,50,18.190001,900,1.75,2.3,0,1,2,0,1,0,0,0,1,0,3,5,0,1,1,14,36,8,2012
9,12,6,20,32,12,0,10,20,18.190001,2500,.36359999,3.3333001,1,3,0,1,0,0,0,0,1,0,9,4,0,1,1,6,15,29,2012
5,10,6,19.049999,32,11,1,190,140,18.18,1181,1.8,2.4000001,1,3,2,1,0,0,0,0,1,0,10,12,1,0,0,18,10,34,2012
4,11,6,19.450001,32,10,0,246,174,18.190001,1800,2.25,2.2,1,2,1,1,0,0,1,0,0,0,8,11,0,1,0,12,25,19,2012
3,6,6,19.450001,32,12,0,272,190,18.299999,2782,.222,4,2,7,0,1,0,0,0,0,1,0,6,2,0,1,0,14,28,16,2012
1,5,6,19.450001,33,6,0,53,42,18.040001,1604,1.6,2.2,2,1,0,3,0,0,1,0,0,0,6,11,0,1,2,35,25,19,2012
6,2,6,19.450001,33,5,0,116,69,18.02,260,2.5,2.5,4,3,1,1,0,0,0,0,1,0,2,3,0,1,0,13,44,0,2012
